"","1","2","110","26","33","4","5","18","25","32","42","52","12","24","31","41","51","7","8","9","10","11","13","14","15","16","17","19","20","21","22","23"
"try",2,1,5,4,3,2,1,5,4,3,2,1,7,6,5,2,1,7,6,5,2,1,7,6,5,2,1,7,6,5,2,1
"t1",120,109,114,137,148,126,107,114,137,148,126,107,103,144,138,143,145,103,144,138,143,145,103,144,138,143,145,103,144,138,143,145
"t2",106,149,102,139,112,118,113,102,139,112,118,113,134,117,112,104,101,134,117,112,104,101,134,117,112,104,101,134,117,112,104,101
"t3",14,9,8,8,9,7,12,8,8,9,7,12,16,13,11,13,17,16,13,11,13,17,16,13,11,13,17,16,13,11,13,17
"Rich",531,479,260,91,62,135,212,260,91,62,135,212,101,100,96,115,110,101,100,96,115,110,101,100,96,115,110,101,100,96,115,110
"G12",0.0864197530864197,0.05,0.073170731707317,0.36,0.352941176470588,0.157894736842105,0.0895522388059702,0.073170731707317,0.36,0.352941176470588,0.157894736842105,0.0895522388059702,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125
"H12",0.0984848484848485,0.0787401574803149,0.05,0.0869565217391304,0.133333333333333,0.09375,0.0535714285714286,0.05,0.0869565217391304,0.133333333333333,0.09375,0.0535714285714286,0.157142857142857,0.154929577464789,0.138461538461538,0.152777777777778,0.159420289855073,0.157142857142857,0.154929577464789,0.138461538461538,0.152777777777778,0.159420289855073,0.157142857142857,0.154929577464789,0.138461538461538,0.152777777777778,0.159420289855073,0.157142857142857,0.154929577464789,0.138461538461538,0.152777777777778,0.159420289855073
"GH",0.0864197530864197,0.05,0.073170731707317,0.36,0.352941176470588,0.157894736842105,0.0895522388059702,0.073170731707317,0.36,0.352941176470588,0.157894736842105,0.0895522388059702,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125
"NoChim",0.940459914922738,0.889775370357855,0.96265705304592,0.97584386687497,0.999269156103688,0.969611150239093,0.964265586205846,0.96265705304592,0.97584386687497,0.999269156103688,0.969611150239093,0.964265586205846,0.963294783584639,0.963658512815515,0.934432917589463,0.967828791226778,0.968805420027623,0.963294783584639,0.963658512815515,0.934432917589463,0.967828791226778,0.968805420027623,0.963294783584639,0.963658512815515,0.934432917589463,0.967828791226778,0.968805420027623,0.963294783584639,0.963658512815515,0.934432917589463,0.967828791226778,0.968805420027623
"M12",75.2838292751182,0,7.35313663290723,7.35313663290723,7.35313663290723,7.35313663290723,0,7.35313663290723,7.35313663290723,7.35313663290723,7.35313663290723,0,77.3857289710173,75.0737909535086,75.0737909535086,75.0737909535086,0,77.3857289710173,75.0737909535086,75.0737909535086,75.0737909535086,0,77.3857289710173,75.0737909535086,75.0737909535086,75.0737909535086,0,77.3857289710173,75.0737909535086,75.0737909535086,75.0737909535086,0
"BootClass",87.0081209444059,88.0588523590241,10.3078228967572,8.99809264657039,9.35760760820382,9.86172884673188,10.5903627262844,10.3078228967572,8.99809264657039,9.35760760820382,9.86172884673188,10.5903627262844,85.340364394007,89.4468652045466,87.7826045765243,85.4649182115936,86.0221602723871,85.340364394007,89.4468652045466,87.7826045765243,85.4649182115936,86.0221602723871,85.340364394007,89.4468652045466,87.7826045765243,85.4649182115936,86.0221602723871,85.340364394007,89.4468652045466,87.7826045765243,85.4649182115936,86.0221602723871
"BootGenus",75.8085615945668,75.2838292751182,7.04757976647573,5.5201288284095,5.89618490455904,6.49503608382261,7.35313663290723,7.04757976647573,5.5201288284095,5.89618490455904,6.49503608382261,7.35313663290723,74.2601837532588,77.3857289710173,74.9966742618922,73.4267074955982,75.0737909535086,74.2601837532588,77.3857289710173,74.9966742618922,73.4267074955982,75.0737909535086,74.2601837532588,77.3857289710173,74.9966742618922,73.4267074955982,75.0737909535086,74.2601837532588,77.3857289710173,74.9966742618922,73.4267074955982,75.0737909535086
"input",953062,953062,1908375,1908375,1908375,1908375,1908375,1908375,1908375,1908375,1908375,1908375,126072,126072,126072,156497,156497,126072,126072,126072,156497,156497,126072,126072,126072,156497,156497,126072,126072,126072,156497,156497
"filtered",678909,645003,1622565,1280060,1249715,1455536,1673603,1622565,1280060,1249715,1455536,1673603,105792,106070,106487,125737,125944,105792,106070,106487,125737,125944,105792,106070,106487,125737,125944,105792,106070,106487,125737,125944
"denoisedF",670931,639070,1609997,1269020,1229194,1378822,1660998,1609997,1269020,1229194,1378822,1660998,105477,105413,105954,124886,125194,105477,105413,105954,124886,125194,105477,105413,105954,124886,125194,105477,105413,105954,124886,125194
"denoisedR",669428,638627,1615766,1263942,1244099,1380221,1641070,1615766,1263942,1244099,1380221,1641070,105423,105624,106065,125031,125141,105423,105624,106065,125031,125141,105423,105624,106065,125031,125141,105423,105624,106065,125031,125141
"merged",642945,606643,214418,84492,87570,134885,131302,214418,84492,87570,134885,131302,102465,102610,102948,122190,122361,102465,102610,102948,122190,122361,102465,102610,102948,122190,122361,102465,102610,102948,122190,122361
"nonchim",604664,539776,206411,82451,87506,130786,126610,206411,82451,87506,130786,126610,98704,98881,96198,118259,118544,98704,98881,96198,118259,118544,98704,98881,96198,118259,118544,98704,98881,96198,118259,118544
