"","12","2","3","4","5","7","8","9","10","11","13","14","15","16","17","19","20","21","22","23"
"try",7,6,5,2,1,7,6,5,2,1,7,6,5,2,1,7,6,5,2,1
"t1",103,144,138,143,145,103,144,138,143,145,103,144,138,143,145,103,144,138,143,145
"t2",134,117,112,104,101,134,117,112,104,101,134,117,112,104,101,134,117,112,104,101
"t3",16,13,11,13,17,16,13,11,13,17,16,13,11,13,17,16,13,11,13,17
"Rich",101,100,96,115,110,101,100,96,115,110,101,100,96,115,110,101,100,96,115,110
"G12",0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125
"H12",0.157142857142857,0.154929577464789,0.138461538461538,0.152777777777778,0.159420289855073,0.157142857142857,0.154929577464789,0.138461538461538,0.152777777777778,0.159420289855073,0.157142857142857,0.154929577464789,0.138461538461538,0.152777777777778,0.159420289855073,0.157142857142857,0.154929577464789,0.138461538461538,0.152777777777778,0.159420289855073
"GH",0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125,0.146666666666667,0.184210526315789,0.164383561643836,0.0921052631578947,0.125
"NoChim",0.963294783584639,0.963658512815515,0.934432917589463,0.967828791226778,0.968805420027623,0.963294783584639,0.963658512815515,0.934432917589463,0.967828791226778,0.968805420027623,0.963294783584639,0.963658512815515,0.934432917589463,0.967828791226778,0.968805420027623,0.963294783584639,0.963658512815515,0.934432917589463,0.967828791226778,0.968805420027623
"M12",77.3857289710173,75.0737909535086,75.0737909535086,75.0737909535086,0,77.3857289710173,75.0737909535086,75.0737909535086,75.0737909535086,0,77.3857289710173,75.0737909535086,75.0737909535086,75.0737909535086,0,77.3857289710173,75.0737909535086,75.0737909535086,75.0737909535086,0
"BootClass",85.340364394007,89.4468652045466,87.7826045765243,85.4649182115936,86.0221602723871,85.340364394007,89.4468652045466,87.7826045765243,85.4649182115936,86.0221602723871,85.340364394007,89.4468652045466,87.7826045765243,85.4649182115936,86.0221602723871,85.340364394007,89.4468652045466,87.7826045765243,85.4649182115936,86.0221602723871
"BootGenus",74.2601837532588,77.3857289710173,74.9966742618922,73.4267074955982,75.0737909535086,74.2601837532588,77.3857289710173,74.9966742618922,73.4267074955982,75.0737909535086,74.2601837532588,77.3857289710173,74.9966742618922,73.4267074955982,75.0737909535086,74.2601837532588,77.3857289710173,74.9966742618922,73.4267074955982,75.0737909535086
"input",126072,126072,126072,156497,156497,126072,126072,126072,156497,156497,126072,126072,126072,156497,156497,126072,126072,126072,156497,156497
"filtered",105792,106070,106487,125737,125944,105792,106070,106487,125737,125944,105792,106070,106487,125737,125944,105792,106070,106487,125737,125944
"denoisedF",105477,105413,105954,124886,125194,105477,105413,105954,124886,125194,105477,105413,105954,124886,125194,105477,105413,105954,124886,125194
"denoisedR",105423,105624,106065,125031,125141,105423,105624,106065,125031,125141,105423,105624,106065,125031,125141,105423,105624,106065,125031,125141
"merged",102465,102610,102948,122190,122361,102465,102610,102948,122190,122361,102465,102610,102948,122190,122361,102465,102610,102948,122190,122361
"nonchim",98704,98881,96198,118259,118544,98704,98881,96198,118259,118544,98704,98881,96198,118259,118544,98704,98881,96198,118259,118544
