"","4","42","12","7","13","19","51","11","17","23","41","10","16","22","5","52","1","18"
"try",2,2,7,7,7,7,1,1,1,1,2,2,2,2,1,1,5,5
"t1",126,126,103,103,103,103,145,145,145,145,143,143,143,143,107,107,114,114
"t2",118,118,134,134,134,134,101,101,101,101,104,104,104,104,113,113,102,102
"t3",7,7,16,16,16,16,17,17,17,17,13,13,13,13,12,12,8,8
"Rich",135,135,101,101,101,101,110,110,110,110,115,115,115,115,212,212,260,260
"G12",0.157894736842105,0.157894736842105,0.146666666666667,0.146666666666667,0.146666666666667,0.146666666666667,0.125,0.125,0.125,0.125,0.0921052631578947,0.0921052631578947,0.0921052631578947,0.0921052631578947,0.0895522388059702,0.0895522388059702,0.073170731707317,0.073170731707317
"H12",0.09375,0.09375,0.157142857142857,0.157142857142857,0.157142857142857,0.157142857142857,0.159420289855073,0.159420289855073,0.159420289855073,0.159420289855073,0.152777777777778,0.152777777777778,0.152777777777778,0.152777777777778,0.0535714285714286,0.0535714285714286,0.05,0.05
"GH",0.157894736842105,0.157894736842105,0.146666666666667,0.146666666666667,0.146666666666667,0.146666666666667,0.125,0.125,0.125,0.125,0.0921052631578947,0.0921052631578947,0.0921052631578947,0.0921052631578947,0.0895522388059702,0.0895522388059702,0.073170731707317,0.073170731707317
"NoChim",0.969611150239093,0.969611150239093,0.963294783584639,0.963294783584639,0.963294783584639,0.963294783584639,0.968805420027623,0.968805420027623,0.968805420027623,0.968805420027623,0.967828791226778,0.967828791226778,0.967828791226778,0.967828791226778,0.964265586205846,0.964265586205846,0.96265705304592,0.96265705304592
"M12",7.35313663290723,7.35313663290723,77.3857289710173,77.3857289710173,77.3857289710173,77.3857289710173,0,0,0,0,75.0737909535086,75.0737909535086,75.0737909535086,75.0737909535086,0,0,7.35313663290723,7.35313663290723
"BootClass",9.86172884673188,9.86172884673188,85.340364394007,85.340364394007,85.340364394007,85.340364394007,86.0221602723871,86.0221602723871,86.0221602723871,86.0221602723871,85.4649182115936,85.4649182115936,85.4649182115936,85.4649182115936,10.5903627262844,10.5903627262844,10.3078228967572,10.3078228967572
"BootGenus",6.49503608382261,6.49503608382261,74.2601837532588,74.2601837532588,74.2601837532588,74.2601837532588,75.0737909535086,75.0737909535086,75.0737909535086,75.0737909535086,73.4267074955982,73.4267074955982,73.4267074955982,73.4267074955982,7.35313663290723,7.35313663290723,7.04757976647573,7.04757976647573
"input",1908375,1908375,126072,126072,126072,126072,156497,156497,156497,156497,156497,156497,156497,156497,1908375,1908375,1908375,1908375
"filtered",1455536,1455536,105792,105792,105792,105792,125944,125944,125944,125944,125737,125737,125737,125737,1673603,1673603,1622565,1622565
"denoisedF",1378822,1378822,105477,105477,105477,105477,125194,125194,125194,125194,124886,124886,124886,124886,1660998,1660998,1609997,1609997
"denoisedR",1380221,1380221,105423,105423,105423,105423,125141,125141,125141,125141,125031,125031,125031,125031,1641070,1641070,1615766,1615766
"merged",134885,134885,102465,102465,102465,102465,122361,122361,122361,122361,122190,122190,122190,122190,131302,131302,214418,214418
"nonchim",130786,130786,98704,98704,98704,98704,118544,118544,118544,118544,118259,118259,118259,118259,126610,126610,206411,206411
